epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.578,0.93644,1.88397,1.29225,1.23711,0.01685,0.22924,0.00958,0.00554,0.01289,0.17445,0.0059,0.00302,3.51441,56.1008,inf,6.28708,0.000550661,0.000550661,0.000550661
2,240.336,1.05108,1.76175,1.11908,1.28699,0.20367,0.29162,0.10526,0.0516,0.12323,0.16863,0.04201,0.01869,2.33121,10.1439,5.80809,5.49086,0.00108442,0.00108442,0.00108442
3,352.301,1.05689,1.66811,1.0578,1.30394,0.59767,0.53933,0.49444,0.30123,0.56122,0.52272,0.46776,0.22428,1.1678,1.83029,4.09829,1.54641,0.00159618,0.00159618,0.00159618
4,462.905,0.99514,1.60293,1.00898,1.26202,0.69181,0.69642,0.6641,0.44538,0.64513,0.64832,0.57414,0.33064,1.08358,1.94162,1.97884,1.50503,0.00156798,0.00156798,0.00156798
5,572.89,0.91288,1.45912,0.91897,1.21126,0.73003,0.80188,0.76847,0.61212,0.71692,0.81413,0.74892,0.47252,0.79713,1.55699,1.26366,1.16994,0.00153497,0.00153497,0.00153497
6,687.685,0.87829,1.42845,0.85689,1.18859,0.77049,0.81128,0.78696,0.57396,0.75447,0.78824,0.74997,0.47863,0.80987,1.39163,1.23585,1.1445,0.00150197,0.00150197,0.00150197
7,798.968,0.82502,1.32789,0.81772,1.16243,0.69547,0.83064,0.74203,0.56749,0.68675,0.80874,0.71523,0.45751,0.79264,1.35101,1.66404,1.15849,0.00146896,0.00146896,0.00146896
8,909.319,0.81506,1.31218,0.79928,1.16104,0.74298,0.75044,0.76534,0.58899,0.72969,0.73679,0.7384,0.52709,0.83651,1.19008,1.21414,1.15326,0.00143595,0.00143595,0.00143595
9,1019.67,0.78214,1.2649,0.77406,1.14188,0.751,0.82172,0.77624,0.61117,0.74856,0.81531,0.74864,0.51911,0.73031,1.32265,1.10409,1.07792,0.00140295,0.00140295,0.00140295
10,1130.79,0.75455,1.1869,0.72914,1.11794,0.76992,0.76585,0.76886,0.60154,0.76123,0.7568,0.74334,0.52387,0.75184,1.29619,1.1907,1.10898,0.00136994,0.00136994,0.00136994
11,1240.49,0.7227,1.17255,0.70712,1.10512,0.76575,0.83985,0.80799,0.67955,0.7548,0.82672,0.77213,0.5762,0.68056,1.07293,1.01151,1.04707,0.00133693,0.00133693,0.00133693
12,1352.45,0.71588,1.17881,0.71573,1.10069,0.72653,0.84134,0.79632,0.66891,0.71396,0.82801,0.76676,0.57026,0.67085,1.08301,1.09906,1.06454,0.00130393,0.00130393,0.00130393
13,1463.07,0.70525,1.123,0.69097,1.09894,0.80089,0.81277,0.79557,0.65693,0.78838,0.79981,0.77293,0.57554,0.69819,0.91027,1.07687,1.03892,0.00127092,0.00127092,0.00127092
14,1575,0.68878,1.1055,0.67483,1.08305,0.78992,0.7842,0.74239,0.60175,0.77663,0.77182,0.71867,0.51525,0.69422,1.58599,1.23489,1.09168,0.00123791,0.00123791,0.00123791
15,1687.4,0.68827,1.0896,0.672,1.08436,0.76311,0.87552,0.80559,0.68146,0.75433,0.85639,0.78104,0.60505,0.60724,0.92184,1.04454,0.99957,0.00120491,0.00120491,0.00120491
16,1799.75,0.68051,1.06246,0.65408,1.0749,0.76218,0.87481,0.79697,0.66489,0.74567,0.85661,0.78162,0.58406,0.65517,0.79277,1.16089,1.0241,0.0011719,0.0011719,0.0011719
17,1911.71,0.66266,1.08973,0.65448,1.06644,0.78697,0.84504,0.8118,0.69236,0.77098,0.83049,0.78677,0.59961,0.58151,0.85802,0.98677,0.97335,0.00113889,0.00113889,0.00113889
18,2025.96,0.65086,1.05904,0.64361,1.06389,0.78214,0.83304,0.82384,0.7086,0.77816,0.82933,0.81014,0.61428,0.58104,0.81811,0.98612,0.9737,0.00110589,0.00110589,0.00110589
19,2138,0.63383,1.00709,0.61198,1.04701,0.76974,0.83261,0.81254,0.69338,0.7587,0.82196,0.78395,0.59503,0.63266,0.88304,0.97748,1.00956,0.00107288,0.00107288,0.00107288
20,2248.99,0.62919,1.03452,0.61142,1.04754,0.78861,0.86179,0.82973,0.7184,0.77921,0.85175,0.81089,0.62777,0.5889,0.83525,0.95616,0.96378,0.00103987,0.00103987,0.00103987
21,2360.49,0.61974,1.02002,0.62444,1.04282,0.77354,0.86483,0.81753,0.72002,0.76463,0.85591,0.80229,0.63165,0.53263,0.82405,0.95824,0.93319,0.00100687,0.00100687,0.00100687
22,2474.18,0.61404,0.96948,0.60099,1.04063,0.77768,0.79465,0.79367,0.67267,0.7669,0.78545,0.77937,0.61434,0.58835,0.88497,1.07426,0.99011,0.000973861,0.000973861,0.000973861
23,2585.14,0.6056,0.99421,0.58988,1.03304,0.84365,0.81863,0.85195,0.73779,0.8353,0.81103,0.83705,0.65043,0.5709,0.72555,0.84097,0.9812,0.000940855,0.000940855,0.000940855
24,2696.08,0.59259,0.96068,0.5848,1.02617,0.81246,0.84782,0.83681,0.72666,0.80484,0.82862,0.8124,0.63254,0.54534,0.76649,0.88843,0.97737,0.000907848,0.000907848,0.000907848
25,2806.8,0.58892,0.94708,0.56933,1.02413,0.80347,0.83819,0.8387,0.73458,0.78729,0.823,0.8156,0.65292,0.50378,0.72813,0.9244,0.91901,0.000874842,0.000874842,0.000874842
26,2917.97,0.58627,0.9288,0.57584,1.02629,0.82101,0.83152,0.83865,0.73517,0.81101,0.82208,0.82023,0.64084,0.50869,0.65533,0.94842,0.92302,0.000841835,0.000841835,0.000841835
27,3029.6,0.57185,0.94079,0.56782,1.0206,0.79138,0.83624,0.81916,0.68569,0.78733,0.83314,0.80708,0.61512,0.57096,0.66537,1.02345,0.95273,0.000808828,0.000808828,0.000808828
28,3141.82,0.57188,0.93661,0.5605,1.01254,0.78541,0.85838,0.83342,0.72858,0.7766,0.84924,0.81971,0.64958,0.56973,0.67688,0.92247,0.93469,0.000775822,0.000775822,0.000775822
29,3252.84,0.55437,0.90513,0.55646,1.0067,0.7896,0.86187,0.84258,0.74264,0.77739,0.85548,0.82098,0.65926,0.50484,0.71763,0.9138,0.91862,0.000742815,0.000742815,0.000742815
30,3370.21,0.55512,0.9247,0.55106,1.00509,0.79836,0.85649,0.85031,0.74513,0.78553,0.84425,0.82964,0.66457,0.49826,0.68106,0.83945,0.9111,0.000709809,0.000709809,0.000709809
31,3481.97,0.54326,0.86639,0.52953,0.99409,0.78625,0.86407,0.83426,0.737,0.78085,0.85358,0.81894,0.64799,0.47478,0.65666,0.83214,0.89021,0.000676802,0.000676802,0.000676802
32,3592.24,0.54527,0.86305,0.53835,1.00234,0.77748,0.89143,0.83204,0.73414,0.76316,0.87619,0.81135,0.64525,0.50648,0.73642,0.89305,0.91427,0.000643795,0.000643795,0.000643795
33,3703.08,0.53107,0.85764,0.51953,0.99253,0.79144,0.89913,0.84124,0.73536,0.78169,0.89022,0.8269,0.64888,0.50794,0.70728,0.91013,0.92452,0.000610789,0.000610789,0.000610789
34,3814.73,0.52586,0.88409,0.52095,0.98966,0.77369,0.86148,0.82242,0.72623,0.76171,0.84928,0.80444,0.64043,0.48433,0.68239,0.8727,0.89339,0.000577782,0.000577782,0.000577782
35,3926.27,0.51567,0.85152,0.51301,0.98375,0.809,0.87807,0.83741,0.73793,0.80335,0.87159,0.82247,0.65353,0.50561,0.63283,0.84238,0.91282,0.000544776,0.000544776,0.000544776
36,4037.73,0.51575,0.84452,0.51061,0.98797,0.83254,0.8481,0.84709,0.752,0.82073,0.83741,0.82915,0.66533,0.48391,0.63831,0.83399,0.89139,0.000511769,0.000511769,0.000511769
