epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9181,1.65668,2.41359,1.74562,0.11932,0.28676,0.06121,0.02331,nan,nan,nan,0.000464715,0.000464715,0.000464715
2,81.5365,1.79735,1.89559,1.82605,0,0,0,0,nan,nan,nan,0.000922416,0.000922416,0.000922416
3,112.412,1.82945,1.85534,1.86798,0.49334,0.0098,0.00577,0.00346,nan,nan,nan,0.00136125,0.00136125,0.00136125
4,144.329,1.85062,1.83549,1.87302,0.93333,0.20833,0.32803,0.16733,nan,nan,nan,0.00134412,0.00134412,0.00134412
5,178.788,1.78878,1.71454,1.81514,0.30942,0.5915,0.43382,0.16737,2.17192,10.954,2.83463,0.00131582,0.00131582,0.00131582
6,212.885,1.71064,1.63733,1.7418,0.21834,0.40605,0.27628,0.10554,2.17253,3.57706,2.26705,0.00128753,0.00128753,0.00128753
7,244.469,1.74397,1.68211,1.77895,0.50195,0.73718,0.77395,0.34491,1.89566,2.59572,2.00571,0.00125923,0.00125923,0.00125923
8,276.05,1.6539,1.57839,1.69443,0.45232,0.43273,0.46013,0.20479,2.00583,3.63262,2.04369,0.00123094,0.00123094,0.00123094
9,306.809,1.63868,1.5868,1.72146,0.64978,0.55229,0.58437,0.26678,1.9713,2.19079,1.96542,0.00120265,0.00120265,0.00120265
10,337.672,1.60806,1.54147,1.68553,0.57848,0.5817,0.59283,0.23696,1.80297,2.25251,1.91768,0.00117435,0.00117435,0.00117435
11,368.79,1.57124,1.47924,1.65343,0.81414,0.71405,0.83968,0.42103,1.73929,1.40844,1.81512,0.00114606,0.00114606,0.00114606
12,405.096,1.55573,1.40282,1.64198,0.85701,0.69509,0.817,0.32615,1.78045,1.55821,1.85647,0.00111776,0.00111776,0.00111776
13,436.11,1.57344,1.39256,1.6679,0.80734,0.4758,0.70567,0.28801,1.81449,2.84158,1.86358,0.00108947,0.00108947,0.00108947
14,466.916,1.5199,1.38711,1.62311,0.84056,0.72222,0.8528,0.46049,1.65339,1.30346,1.73956,0.00106118,0.00106118,0.00106118
15,502.475,1.50066,1.37564,1.58501,0.47684,0.81845,0.76861,0.28867,1.74064,2.05375,1.92412,0.00103288,0.00103288,0.00103288
16,533.227,1.49599,1.36806,1.60005,0.75708,0.65465,0.79439,0.33357,1.82507,2.10354,1.9683,0.00100459,0.00100459,0.00100459
17,563.918,1.46492,1.35887,1.57289,0.78842,0.77717,0.86324,0.42003,1.71933,1.18104,1.91116,0.000976293,0.000976293,0.000976293
18,595.26,1.50138,1.35448,1.61255,0.72819,0.77996,0.87882,0.42576,1.76274,1.46787,1.87007,0.000947999,0.000947999,0.000947999
19,627.115,1.44371,1.29142,1.57914,0.85802,0.70997,0.85998,0.40905,1.74083,1.31284,1.94461,0.000919704,0.000919704,0.000919704
20,657.774,1.46107,1.31469,1.58714,0.91296,0.78883,0.87961,0.44498,1.71656,1.34447,1.78548,0.00089141,0.00089141,0.00089141
21,688.342,1.43033,1.26624,1.58018,0.76924,0.79039,0.92167,0.42952,1.6895,1.52356,1.77153,0.000863116,0.000863116,0.000863116
22,719.271,1.46494,1.25767,1.57546,0.78078,0.79657,0.86011,0.3799,1.81157,1.14993,1.95306,0.000834822,0.000834822,0.000834822
23,750.817,1.42873,1.2158,1.5777,0.74582,0.76316,0.82887,0.37896,1.81986,1.43201,1.9353,0.000806528,0.000806528,0.000806528
24,782.487,1.40219,1.18633,1.52867,0.84215,0.71569,0.85289,0.40553,1.82817,1.1527,2.03544,0.000778233,0.000778233,0.000778233
25,813.506,1.37709,1.23011,1.52421,0.70482,0.74642,0.88473,0.39422,1.77275,1.36712,1.82384,0.000749939,0.000749939,0.000749939
