epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6092,0.99129,2.63141,2.57341,1.24872,0.01074,0.7326,0.46582,0.30049,0.00903,0.54917,0.28587,0.11604,0.9134,4.09463,2.81736,1.08475,0.00045009,0.00045009,0.00045009
2,126.754,0.85537,1.42938,1.27892,1.11128,0.65546,0.17242,0.45407,0.30041,0.56947,0.16937,0.39748,0.23185,1.066,2.21641,2.37866,1.37451,0.000907773,0.000907773,0.000907773
3,184.168,0.89386,1.4111,1.14579,1.12205,0.31183,0.21872,0.1948,0.09282,0.23706,0.17313,0.11676,0.04613,1.37307,4.53418,2.45405,1.63197,0.00135621,0.00135621,0.00135621
4,249.517,0.91229,1.4242,1.08845,1.13691,0.43003,0.52531,0.39293,0.23025,0.40454,0.53167,0.3672,0.1826,1.25394,2.56634,2.01941,1.69888,0.00161749,0.00161749,0.00161749
5,305.637,0.87133,1.38966,0.98735,1.11435,0.41847,0.48032,0.376,0.21508,0.2976,0.33367,0.21703,0.08904,1.30453,3.09556,1.76695,1.70493,0.00160099,0.00160099,0.00160099
6,363.668,0.83432,1.29753,0.9007,1.09328,0.51738,0.65559,0.55706,0.37546,0.48784,0.59934,0.49142,0.26747,1.10357,2.38648,1.37528,1.33072,0.00158448,0.00158448,0.00158448
7,419.475,0.82148,1.25081,0.86309,1.08486,0.58731,0.70653,0.61542,0.44531,0.54627,0.65789,0.5367,0.30477,0.95258,1.43106,1.62178,1.17479,0.00156798,0.00156798,0.00156798
8,475.267,0.80658,1.21337,0.83467,1.08603,0.74862,0.78511,0.78644,0.6032,0.72465,0.7455,0.71027,0.46883,0.84481,1.39418,0.98365,1.08106,0.00155148,0.00155148,0.00155148
9,533.778,0.7799,1.15858,0.81022,1.06472,0.6612,0.76781,0.74826,0.57546,0.66201,0.67666,0.68918,0.44446,0.76631,1.38277,1.06589,1.01322,0.00153497,0.00153497,0.00153497
10,589.901,0.7417,1.14334,0.76417,1.05064,0.69849,0.77813,0.71639,0.50908,0.65901,0.75127,0.66371,0.41397,0.84598,1.28277,1.25752,1.13582,0.00151847,0.00151847,0.00151847
11,646.181,0.73548,1.08768,0.74549,1.04368,0.62517,0.79338,0.7137,0.52724,0.61272,0.77513,0.69398,0.45442,0.81487,1.15928,1.29517,1.11554,0.00150197,0.00150197,0.00150197
