epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4508,1.52664,3.81646,1.59154,0.00292,0.64869,0.18014,0.08795,1.48778,3.60744,1.44597,0.0001429,0.0001429,0.0001429
2,40.9675,1.44812,3.14427,1.3621,0.00486,0.82435,0.44019,0.2173,1.41878,3.40623,1.25418,0.000297119,0.000297119,0.000297119
3,53.2748,1.42916,2.42686,1.3575,0.00468,0.86765,0.55266,0.27465,1.51986,3.29113,1.30017,0.000448226,0.000448226,0.000448226
4,66.3274,1.43631,2.0708,1.42805,0.91082,0.33782,0.56826,0.26785,1.49153,3.3756,1.48348,0.00059622,0.00059622,0.00059622
5,78.7811,1.4606,1.9629,1.4064,1,0.20334,0.67271,0.29898,1.57696,3.01212,1.3835,0.000741102,0.000741102,0.000741102
6,91.0934,1.47178,1.88994,1.40585,0.91741,0.16216,0.41672,0.18875,1.64146,3.22948,1.54205,0.000882872,0.000882872,0.000882872
7,102.745,1.44328,1.74575,1.44156,0.64808,0.38074,0.33763,0.15732,1.81543,3.1071,1.65897,0.00102153,0.00102153,0.00102153
8,115.867,1.48331,1.66592,1.4807,0.70063,0.36275,0.52996,0.23041,1.80317,3.20848,1.68846,0.00115707,0.00115707,0.00115707
9,128.588,1.50819,1.69126,1.44333,0.5846,0.58724,0.54153,0.22618,1.87341,3.70955,2.03682,0.00128951,0.00128951,0.00128951
10,140.908,1.45307,1.55055,1.41757,0.66103,0.26702,0.40695,0.17129,1.91677,3.46318,1.87105,0.00130168,0.00130168,0.00130168
11,153.345,1.50685,1.65318,1.45352,0.38957,0.63431,0.41786,0.19062,1.91651,4.37509,1.91271,0.00128753,0.00128753,0.00128753
12,166.575,1.46192,1.5167,1.46859,0.88203,0.6018,0.69744,0.30845,1.94754,2.54442,2.10994,0.00127338,0.00127338,0.00127338
13,178.468,1.4887,1.44681,1.45807,0.47237,0.58045,0.54964,0.25354,1.90421,3.31996,1.95443,0.00125923,0.00125923,0.00125923
14,189.901,1.44521,1.36918,1.42692,0.8054,0.50186,0.60939,0.25032,1.90755,2.17203,2.03171,0.00124509,0.00124509,0.00124509
15,201.344,1.43083,1.32605,1.42807,0.54565,0.48691,0.55227,0.23009,2.02476,2.39026,2.23991,0.00123094,0.00123094,0.00123094
16,214.143,1.46326,1.2581,1.45132,0.68276,0.67199,0.7428,0.30258,1.90387,1.92924,2.04277,0.00121679,0.00121679,0.00121679
17,225.954,1.39639,1.20952,1.40617,0.75995,0.7364,0.7838,0.34386,1.84831,1.62167,2.02677,0.00120265,0.00120265,0.00120265
18,238.57,1.58305,1.37476,1.61547,0.93706,0.68595,0.78326,0.35758,1.81475,1.76709,1.85267,0.0011885,0.0011885,0.0011885
19,251.048,1.45169,1.20448,1.43515,0.8255,0.69363,0.80764,0.31241,1.95155,1.70964,1.98706,0.00117435,0.00117435,0.00117435
20,263.594,1.33836,1.13933,1.3884,0.92212,0.79897,0.87898,0.41841,1.85622,1.19395,1.97982,0.00116021,0.00116021,0.00116021
21,274.984,1.37275,1.10761,1.40436,0.73629,0.82873,0.85115,0.38835,1.77566,1.45827,1.77624,0.00114606,0.00114606,0.00114606
22,287.706,1.36849,1.09664,1.40411,0.64689,0.60892,0.62168,0.2478,1.96714,1.70919,2.03163,0.00113191,0.00113191,0.00113191
23,299.537,1.3507,1.07235,1.38565,0.7478,0.71004,0.74058,0.34472,2.07998,1.55828,2.01149,0.00111776,0.00111776,0.00111776
24,312.285,1.37648,1.03978,1.42848,0.86375,0.70484,0.80925,0.33942,1.95341,1.34236,2.04847,0.00110362,0.00110362,0.00110362
25,324.367,1.29589,1.00171,1.33206,0.92548,0.82429,0.88193,0.43912,1.89233,1.15957,1.94645,0.00108947,0.00108947,0.00108947
26,336.642,1.34111,0.97175,1.35648,0.75467,0.726,0.77258,0.31394,1.98479,1.64767,2.0551,0.00107532,0.00107532,0.00107532
27,348.112,1.3074,0.99519,1.32341,0.81391,0.78105,0.82118,0.33796,2.06888,1.68406,2.01668,0.00106118,0.00106118,0.00106118
28,359.748,1.3005,0.95476,1.29804,0.85231,0.692,0.80226,0.38166,1.98682,1.30777,2.00168,0.00104703,0.00104703,0.00104703
29,371.708,1.33642,0.97006,1.37298,0.89445,0.78268,0.86767,0.34662,1.85931,1.1986,1.91136,0.00103288,0.00103288,0.00103288
30,384.601,1.3529,0.99299,1.34895,0.89319,0.7155,0.8014,0.35211,2.14771,1.43787,2.12823,0.00101873,0.00101873,0.00101873
31,396.575,1.28122,0.91164,1.29572,0.81902,0.76582,0.78889,0.37934,1.96222,1.41636,1.95555,0.00100459,0.00100459,0.00100459
32,410.532,1.32445,0.85892,1.35776,0.80706,0.80637,0.81181,0.31517,2.06593,1.24839,2.04149,0.00099044,0.00099044,0.00099044
33,422.151,1.30878,0.89079,1.37039,0.89067,0.74346,0.82657,0.36486,2.03915,1.32702,2.08083,0.000976293,0.000976293,0.000976293
34,433.594,1.24017,0.84085,1.28277,0.76042,0.84603,0.87116,0.43502,1.80993,1.23557,1.79597,0.000962146,0.000962146,0.000962146
35,445.225,1.23964,0.84213,1.28847,0.91391,0.87815,0.90984,0.40597,1.87128,1.0172,1.91563,0.000947999,0.000947999,0.000947999
36,457.67,1.33532,0.84077,1.34359,0.70675,0.77533,0.76572,0.28748,2.17725,1.19159,2.12086,0.000933851,0.000933851,0.000933851
37,470.045,1.27712,0.87782,1.27769,0.81896,0.82277,0.88061,0.37671,2.0762,1.05646,2.00882,0.000919704,0.000919704,0.000919704
38,482.672,1.27823,0.87892,1.33726,0.81173,0.84401,0.91245,0.42001,1.85738,1.04064,1.88492,0.000905557,0.000905557,0.000905557
39,494.58,1.22289,0.83205,1.28193,0.92025,0.84395,0.9328,0.48699,1.76103,0.91317,1.75856,0.00089141,0.00089141,0.00089141
40,506.089,1.359,0.87996,1.39513,0.95293,0.74475,0.86205,0.45042,1.86624,1.07145,1.87251,0.000877263,0.000877263,0.000877263
41,517.489,1.24568,0.80108,1.29191,0.90683,0.80065,0.88449,0.43491,1.85358,1.13337,1.90039,0.000863116,0.000863116,0.000863116
42,529.614,1.24222,0.82699,1.37978,0.85005,0.78895,0.81944,0.35887,2.10061,1.32557,2.10243,0.000848969,0.000848969,0.000848969
43,541.801,1.2184,0.80177,1.25866,0.75274,0.77739,0.80911,0.37782,1.96604,1.27032,1.89108,0.000834822,0.000834822,0.000834822
44,554.619,1.21947,0.74957,1.31272,0.9526,0.89561,0.95904,0.4133,1.90365,0.85656,1.97263,0.000820675,0.000820675,0.000820675
45,566.658,1.14549,0.72884,1.2155,0.91107,0.89041,0.94142,0.50051,1.83694,0.76965,1.81192,0.000806528,0.000806528,0.000806528
46,578.601,1.15641,0.74132,1.22229,0.89387,0.88467,0.9236,0.44265,1.83718,0.8564,1.80751,0.00079238,0.00079238,0.00079238
47,589.971,1.11817,0.71504,1.22708,0.90261,0.89588,0.92614,0.43761,1.88898,0.87789,1.88542,0.000778233,0.000778233,0.000778233
48,602.741,1.19973,0.72991,1.27741,0.90301,0.89259,0.91899,0.46971,1.76812,0.9257,1.79592,0.000764086,0.000764086,0.000764086
49,614.677,1.15999,0.70741,1.23049,0.83871,0.87375,0.88808,0.43518,1.83413,0.94487,1.78168,0.000749939,0.000749939,0.000749939
50,627.083,1.09174,0.69429,1.19934,0.90394,0.88082,0.92108,0.46015,1.82613,0.99025,1.84652,0.000735792,0.000735792,0.000735792
51,638.879,1.07737,0.69068,1.1953,0.93242,0.87048,0.94558,0.45163,1.86364,0.84987,1.89012,0.000721645,0.000721645,0.000721645
52,650.467,1.05537,0.70292,1.1892,0.85446,0.88968,0.92533,0.46272,1.90266,0.82083,1.86901,0.000707498,0.000707498,0.000707498
53,662.468,1.09415,0.68542,1.20118,0.87665,0.87244,0.941,0.48265,1.85759,0.83575,1.85077,0.000693351,0.000693351,0.000693351
54,674.937,1.11563,0.66704,1.20187,0.93997,0.88492,0.95296,0.45785,1.87282,0.78225,1.88704,0.000679204,0.000679204,0.000679204
55,686.284,1.12516,0.71836,1.24051,0.93934,0.91909,0.94292,0.46554,1.83674,0.77898,1.81718,0.000665057,0.000665057,0.000665057
56,699.295,1.09655,0.64431,1.20136,0.91107,0.78418,0.84677,0.36309,2.07986,0.97895,2.09368,0.000650909,0.000650909,0.000650909
57,711.219,1.0994,0.66864,1.23472,0.79733,0.83987,0.84192,0.36903,1.99212,0.89828,2.08573,0.000636762,0.000636762,0.000636762
58,722.521,1.00531,0.62674,1.16637,0.88967,0.89279,0.91367,0.40967,1.90634,0.85704,1.93687,0.000622615,0.000622615,0.000622615
59,734.736,1.05361,0.67676,1.19488,0.92986,0.76716,0.88236,0.41678,1.84602,0.8945,1.93644,0.000608468,0.000608468,0.000608468
60,746.659,1.10803,0.66961,1.22092,0.9562,0.89247,0.91029,0.42248,1.90509,0.8257,1.9232,0.000594321,0.000594321,0.000594321
61,759.284,1.04182,0.6594,1.1597,0.9166,0.88804,0.94539,0.46401,1.86417,0.74893,1.90726,0.000580174,0.000580174,0.000580174
62,771.856,1.09305,0.66231,1.22747,0.94663,0.85455,0.91123,0.42877,1.89705,0.84729,1.90772,0.000566027,0.000566027,0.000566027
63,784.365,1.02034,0.60368,1.13816,0.92985,0.914,0.937,0.44502,1.90009,0.75094,1.90841,0.00055188,0.00055188,0.00055188
64,796.066,1.05071,0.61678,1.16294,0.92707,0.85403,0.9393,0.48496,1.79496,0.77147,1.78691,0.000537733,0.000537733,0.000537733
65,808.265,1.0028,0.6294,1.13864,0.87721,0.8765,0.92231,0.45251,1.84317,0.78891,1.91902,0.000523586,0.000523586,0.000523586
66,819.757,1.06251,0.67748,1.21441,0.89053,0.81385,0.91757,0.40708,1.90916,0.87794,1.91576,0.000509438,0.000509438,0.000509438
67,832.409,1.12904,0.76552,1.27035,0.90669,0.93137,0.9553,0.41968,1.93479,0.74407,2.02468,0.000495291,0.000495291,0.000495291
68,844.336,1.03347,0.65526,1.14337,0.97176,0.90733,0.94824,0.46542,1.817,0.76434,1.77448,0.000481144,0.000481144,0.000481144
69,857.257,1.05016,0.58797,1.1681,0.90939,0.88154,0.88843,0.39748,2.06148,0.85373,2.13324,0.000466997,0.000466997,0.000466997
70,869.067,1.01369,0.6015,1.15604,0.92916,0.89984,0.9446,0.46615,1.86597,0.73724,1.82227,0.00045285,0.00045285,0.00045285
71,881.244,1.01456,0.55658,1.14276,0.92109,0.88689,0.93017,0.43522,1.91933,0.75212,1.9162,0.000438703,0.000438703,0.000438703
72,892.675,1.075,0.64041,1.14691,0.94242,0.85041,0.91949,0.44004,1.89764,0.88561,1.82103,0.000424556,0.000424556,0.000424556
73,904.931,0.93065,0.66165,1.10463,0.97105,0.90111,0.948,0.47165,1.83556,0.76761,1.87541,0.000410409,0.000410409,0.000410409
74,917.191,0.93396,0.57006,1.11394,0.93336,0.89746,0.91783,0.45276,1.92992,0.91148,1.88771,0.000396262,0.000396262,0.000396262
75,929.626,0.94845,0.5679,1.1173,0.91172,0.86007,0.89905,0.43264,1.89212,0.8509,1.96871,0.000382115,0.000382115,0.000382115
76,941.675,0.91692,0.54311,1.0832,0.89573,0.9045,0.91984,0.40558,1.91738,0.755,1.97522,0.000367967,0.000367967,0.000367967
77,954.236,0.99384,0.55948,1.10804,0.91125,0.85784,0.9189,0.38475,2.01049,0.83705,2.05855,0.00035382,0.00035382,0.00035382
78,966.661,0.93647,0.61557,1.12629,0.92207,0.89413,0.92427,0.43922,1.96715,0.80785,1.96912,0.000339673,0.000339673,0.000339673
79,978.95,0.849,0.53064,1.07324,0.97129,0.83396,0.9107,0.42831,1.95958,0.83068,2.01575,0.000325526,0.000325526,0.000325526
80,989.986,0.91855,0.55817,1.09617,0.94171,0.8811,0.89829,0.44392,1.87089,0.84622,1.90147,0.000311379,0.000311379,0.000311379
81,1002.82,0.88883,0.49801,1.07536,0.95537,0.89542,0.92552,0.45114,1.88611,0.83264,1.89846,0.000297232,0.000297232,0.000297232
82,1015.06,0.98659,0.56976,1.10093,0.88757,0.8729,0.92335,0.46335,1.75902,0.83014,1.82819,0.000283085,0.000283085,0.000283085
83,1026.9,0.8925,0.51413,1.10154,0.92902,0.87727,0.90401,0.4418,1.84017,0.79772,1.88148,0.000268938,0.000268938,0.000268938
84,1039.73,0.91019,0.52207,1.07473,0.94224,0.87833,0.93546,0.44757,1.84306,0.78171,1.89034,0.000254791,0.000254791,0.000254791
85,1050.66,0.88283,0.50492,1.07445,0.9216,0.88617,0.91031,0.40325,2.02016,0.86456,2.00785,0.000240644,0.000240644,0.000240644
86,1062.48,0.86977,0.48751,1.08349,0.92954,0.91601,0.93229,0.43851,1.96382,0.78167,1.97122,0.000226497,0.000226497,0.000226497
87,1074.71,0.88021,0.49487,1.06447,0.94781,0.87173,0.94479,0.45272,1.87376,0.76662,1.93444,0.000212349,0.000212349,0.000212349
88,1087.41,0.85929,0.50102,1.07259,0.95105,0.86077,0.92845,0.43304,1.8948,0.82335,1.99854,0.000198202,0.000198202,0.000198202
89,1099.76,0.87687,0.49576,1.08891,0.96273,0.89468,0.9154,0.43365,1.96264,0.82295,2.03159,0.000184055,0.000184055,0.000184055
90,1112.07,0.84705,0.49162,1.05414,0.95258,0.85566,0.91465,0.43816,1.93175,0.83246,1.98099,0.000169908,0.000169908,0.000169908
91,1130.63,0.94253,0.56371,1.06809,0.91638,0.84899,0.87476,0.41891,2.01512,0.89049,2.04151,0.000155761,0.000155761,0.000155761
92,1143.86,0.83292,0.48168,1.04052,0.92394,0.86437,0.90653,0.4198,1.98732,0.84326,2.07921,0.000141614,0.000141614,0.000141614
93,1156.25,0.78633,0.41302,1.03779,0.91178,0.86605,0.87822,0.41223,2.05381,0.82103,2.175,0.000127467,0.000127467,0.000127467
94,1167.15,0.86501,0.45792,1.15329,0.92089,0.85987,0.88145,0.41711,1.99265,0.82116,2.10509,0.00011332,0.00011332,0.00011332
95,1178.56,0.76267,0.43038,1.01221,0.93019,0.89175,0.91885,0.40701,1.97091,0.78304,2.08304,9.91726e-05,9.91726e-05,9.91726e-05
96,1188.95,0.91807,0.81292,1.15183,0.93405,0.86765,0.90642,0.40645,2.01278,0.84174,2.12049,8.50255e-05,8.50255e-05,8.50255e-05
97,1201.75,0.82262,0.53543,1.09824,0.92701,0.88154,0.90622,0.40473,2.02158,0.86146,2.13432,7.08784e-05,7.08784e-05,7.08784e-05
98,1213.11,0.7508,0.40596,1.07199,0.9274,0.89029,0.90711,0.42219,1.97377,0.84444,2.07429,5.67313e-05,5.67313e-05,5.67313e-05
99,1224.82,0.73844,0.48157,1.013,0.93166,0.90348,0.925,0.40611,1.97359,0.83191,2.06765,4.25842e-05,4.25842e-05,4.25842e-05
100,1236.2,0.74636,0.41416,0.98834,0.92852,0.89346,0.90429,0.40724,1.97025,0.82524,2.07324,2.84371e-05,2.84371e-05,2.84371e-05
